,0
0,4
1,20
2,28
3,32
4,46
5,60
6,64
7,65
8,68
9,69
10,72
11,95
12,110
13,134
14,154
15,162
16,167
17,169
18,174
19,181
20,185
21,186
22,200
23,212
24,259
25,260
26,265
27,266
28,286
29,295
30,296
31,319
32,320
33,341
34,342
35,381
36,382
37,399
38,400
39,405
40,406
41,413
42,414
43,423
44,424
45,441
46,442
47,443
48,558
49,559
50,560
51,582
52,583
53,584
54,651
55,652
56,653
57,654
58,655
59,656
60,709
61,710
62,711
63,712
64,713
65,714
66,760
67,761
68,762
69,769
70,770
71,771
72,799
73,800
74,801
75,844
76,845
77,846
78,870
79,871
80,872
81,873
82,954
83,955
84,956
85,957
86,1034
87,1035
88,1036
89,1037
90,1038
91,1039
92,1040
93,1041
94,1090
95,1091
96,1092
97,1093
98,1094
99,1095
100,1096
101,1097
102,1102
103,1103
104,1104
105,1105
106,1106
107,1107
108,1108
109,1109
110,1174
111,1175
112,1176
113,1177
114,1218
115,1219
116,1220
117,1221
118,1302
119,1303
120,1304
121,1305
122,1334
123,1335
124,1336
125,1337
126,1338
127,1339
128,1340
129,1341
130,1350
131,1351
132,1352
133,1353
134,1358
135,1359
136,1360
137,1361
138,1386
139,1387
140,1388
141,1389
142,1410
143,1411
144,1412
145,1413
146,1443
147,1444
148,1445
149,1474
150,1475
151,1476
152,1477
153,1530
154,1531
155,1532
156,1533
157,1722
158,1723
159,1724
160,1725
161,1730
162,1731
163,1732
164,1733
165,1938
166,1939
167,1940
168,1941
169,2002
170,2003
171,2004
172,2005
173,2034
174,2035
175,2036
176,2037
177,2038
178,2039
179,2040
180,2041
181,2086
182,2087
183,2088
184,2089
185,2209
186,2210
187,2211
188,2212
189,2281
190,2282
191,2283
192,2284
193,2386
194,2387
195,2388
196,2389
197,2390
198,2496
199,2497
200,2498
201,2499
202,2500
203,2566
204,2567
205,2568
206,2569
207,2570
208,2666
209,2667
210,2668
211,2669
212,2670
213,2781
214,2782
215,2783
216,2784
217,2785
218,2806
219,2807
220,2808
221,2809
222,2810
223,2876
224,2877
225,2878
226,2879
227,2880
228,2886
229,2887
230,2888
231,2889
232,2890
233,2901
234,2902
235,2903
236,2904
237,2905
238,2956
239,2957
240,2958
