,path,age
2,common_voice_pl_23840821.mp3,thirties
3,common_voice_pl_23694146.mp3,twenties
4,common_voice_pl_24085740.mp3,twenties
7,common_voice_pl_48039994.mp3,thirties
8,common_voice_pl_23756053.mp3,twenties
10,common_voice_pl_23995516.mp3,thirties
13,common_voice_pl_20605516.mp3,twenties
14,common_voice_pl_37353781.mp3,sixties+
15,common_voice_pl_26609171.mp3,teens
17,common_voice_pl_24224913.mp3,thirties
19,common_voice_pl_23579454.mp3,twenties
24,common_voice_pl_23740258.mp3,teens
25,common_voice_pl_23740264.mp3,teens
27,common_voice_pl_20605922.mp3,twenties
29,common_voice_pl_23647315.mp3,thirties
30,common_voice_pl_23647316.mp3,thirties
31,common_voice_pl_22723315.mp3,twenties
32,common_voice_pl_22723318.mp3,twenties
35,common_voice_pl_21873862.mp3,fourties
38,common_voice_pl_20613229.mp3,twenties
42,common_voice_pl_21373330.mp3,thirties
43,common_voice_pl_23939982.mp3,twenties
44,common_voice_pl_23939984.mp3,twenties
45,common_voice_pl_20626196.mp3,fourties
47,common_voice_pl_20626203.mp3,fourties
51,common_voice_pl_23372890.mp3,fifties
52,common_voice_pl_23372891.mp3,fifties
55,common_voice_pl_20603837.mp3,twenties
58,common_voice_pl_38182400.mp3,fourties
59,common_voice_pl_38182402.mp3,fourties
61,common_voice_pl_20968703.mp3,teens
62,common_voice_pl_20968704.mp3,teens
64,common_voice_pl_20643489.mp3,thirties
66,common_voice_pl_20774922.mp3,twenties
67,common_voice_pl_20774925.mp3,twenties
69,common_voice_pl_32072424.mp3,twenties
71,common_voice_pl_32129747.mp3,twenties
73,common_voice_pl_20605390.mp3,teens
76,common_voice_pl_26771856.mp3,teens
78,common_voice_pl_20779721.mp3,thirties
82,common_voice_pl_20633899.mp3,thirties
83,common_voice_pl_20633901.mp3,thirties
85,common_voice_pl_20633903.mp3,thirties
86,common_voice_pl_20655888.mp3,twenties
87,common_voice_pl_20655890.mp3,twenties
88,common_voice_pl_20655891.mp3,twenties
89,common_voice_pl_20655893.mp3,twenties
90,common_voice_pl_21604051.mp3,thirties
91,common_voice_pl_21604053.mp3,thirties
94,common_voice_pl_35727790.mp3,fifties
95,common_voice_pl_35727791.mp3,fifties
97,common_voice_pl_35727793.mp3,fifties
98,common_voice_pl_20633503.mp3,twenties
99,common_voice_pl_20633505.mp3,twenties
101,common_voice_pl_20633507.mp3,twenties
106,common_voice_pl_20612263.mp3,fourties
108,common_voice_pl_20612265.mp3,fourties
110,common_voice_pl_20838539.mp3,fourties
111,common_voice_pl_20838540.mp3,fourties
113,common_voice_pl_20838544.mp3,fourties
116,common_voice_pl_20774284.mp3,fourties
118,common_voice_pl_23651459.mp3,fourties
120,common_voice_pl_23651461.mp3,fourties
121,common_voice_pl_23651462.mp3,fourties
122,common_voice_pl_23809138.mp3,fourties
123,common_voice_pl_23809139.mp3,fourties
125,common_voice_pl_23809141.mp3,fourties
127,common_voice_pl_24776904.mp3,fourties
128,common_voice_pl_24776905.mp3,fourties
130,common_voice_pl_37327070.mp3,fourties
132,common_voice_pl_37327074.mp3,fourties
133,common_voice_pl_37327076.mp3,fourties
134,common_voice_pl_20607343.mp3,twenties
135,common_voice_pl_20607344.mp3,twenties
137,common_voice_pl_20607347.mp3,twenties
138,common_voice_pl_20607113.mp3,thirties
139,common_voice_pl_20607124.mp3,thirties
142,common_voice_pl_20606342.mp3,twenties
143,common_voice_pl_20606344.mp3,twenties
144,common_voice_pl_20606348.mp3,twenties
145,common_voice_pl_20606349.mp3,twenties
147,common_voice_pl_43574412.mp3,thirties
153,common_voice_pl_20775057.mp3,thirties
157,common_voice_pl_20837177.mp3,thirties
159,common_voice_pl_20837180.mp3,thirties
160,common_voice_pl_20837181.mp3,thirties
162,common_voice_pl_20648450.mp3,twenties
166,common_voice_pl_21189449.mp3,fourties
167,common_voice_pl_21189450.mp3,fourties
170,common_voice_pl_21170684.mp3,twenties
173,common_voice_pl_20610474.mp3,twenties
174,common_voice_pl_20610475.mp3,twenties
175,common_voice_pl_20610476.mp3,twenties
176,common_voice_pl_20610478.mp3,twenties
184,common_voice_pl_39597731.mp3,sixties+
185,common_voice_pl_38987305.mp3,thirties
186,common_voice_pl_38987306.mp3,thirties
187,common_voice_pl_38987307.mp3,thirties
190,common_voice_pl_36080071.mp3,thirties
191,common_voice_pl_36080072.mp3,thirties
193,common_voice_pl_20868486.mp3,teens
195,common_voice_pl_20868488.mp3,teens
199,common_voice_pl_20646598.mp3,fourties
201,common_voice_pl_20646600.mp3,fourties
203,common_voice_pl_20773698.mp3,twenties
204,common_voice_pl_20773699.mp3,twenties
208,common_voice_pl_20620740.mp3,thirties
209,common_voice_pl_20620742.mp3,thirties
210,common_voice_pl_20620743.mp3,thirties
214,common_voice_pl_20679695.mp3,twenties
215,common_voice_pl_20679696.mp3,twenties
216,common_voice_pl_20679697.mp3,twenties
220,common_voice_pl_20623394.mp3,thirties
222,common_voice_pl_20623401.mp3,thirties
224,common_voice_pl_20619349.mp3,twenties
226,common_voice_pl_20619353.mp3,twenties
230,common_voice_pl_27139457.mp3,twenties
232,common_voice_pl_27139460.mp3,twenties
233,common_voice_pl_25121164.mp3,teens
234,common_voice_pl_25121165.mp3,teens
237,common_voice_pl_25121168.mp3,teens
238,common_voice_pl_20815161.mp3,twenties
239,common_voice_pl_20815162.mp3,twenties
240,common_voice_pl_20815163.mp3,twenties
242,common_voice_pl_20815165.mp3,twenties
246,common_voice_pl_21101936.mp3,twenties
249,common_voice_pl_20640303.mp3,thirties
250,common_voice_pl_20640304.mp3,thirties
252,common_voice_pl_20640306.mp3,thirties
253,common_voice_pl_24583487.mp3,thirties
254,common_voice_pl_24583488.mp3,thirties
257,common_voice_pl_24583491.mp3,thirties
258,common_voice_pl_20615994.mp3,fourties
261,common_voice_pl_20615999.mp3,fourties
262,common_voice_pl_20616001.mp3,fourties
265,common_voice_pl_26791672.mp3,thirties
268,common_voice_pl_20615640.mp3,thirties
271,common_voice_pl_20615654.mp3,thirties
272,common_voice_pl_20615656.mp3,thirties
