,path,age
28,common_voice_pl_23840821.mp3,thirties
32,common_voice_pl_23694146.mp3,twenties
60,common_voice_pl_23677778.mp3,twenties
64,common_voice_pl_20605456.mp3,thirties
69,common_voice_pl_20604512.mp3,thirties
72,common_voice_pl_23995516.mp3,thirties
95,common_voice_pl_23850162.mp3,teens
110,common_voice_pl_24062356.mp3,thirties
134,common_voice_pl_20605516.mp3,twenties
162,common_voice_pl_26609171.mp3,teens
167,common_voice_pl_23757202.mp3,twenties
185,common_voice_pl_23999996.mp3,twenties
200,common_voice_pl_23747240.mp3,twenties
212,common_voice_pl_23757850.mp3,fourties
259,common_voice_pl_23740258.mp3,teens
265,common_voice_pl_20605747.mp3,twenties
295,common_voice_pl_23647315.mp3,thirties
296,common_voice_pl_23647316.mp3,thirties
319,common_voice_pl_22723315.mp3,twenties
341,common_voice_pl_27100225.mp3,twenties
342,common_voice_pl_27100226.mp3,twenties
413,common_voice_pl_21373327.mp3,thirties
441,common_voice_pl_20626196.mp3,fourties
442,common_voice_pl_20626198.mp3,fourties
558,common_voice_pl_20616268.mp3,teens
559,common_voice_pl_20616270.mp3,teens
560,common_voice_pl_20616272.mp3,teens
583,common_voice_pl_23372891.mp3,fifties
584,common_voice_pl_23372895.mp3,fifties
651,common_voice_pl_20603774.mp3,twenties
652,common_voice_pl_20603837.mp3,twenties
653,common_voice_pl_20604015.mp3,twenties
656,common_voice_pl_38182402.mp3,fourties
709,common_voice_pl_20968702.mp3,teens
710,common_voice_pl_20968703.mp3,teens
714,common_voice_pl_20643491.mp3,thirties
762,common_voice_pl_20774933.mp3,twenties
771,common_voice_pl_32129747.mp3,twenties
799,common_voice_pl_20605290.mp3,teens
845,common_voice_pl_26771856.mp3,teens
870,common_voice_pl_20779721.mp3,thirties
871,common_voice_pl_20779722.mp3,thirties
872,common_voice_pl_20779723.mp3,thirties
954,common_voice_pl_20633899.mp3,thirties
955,common_voice_pl_20633901.mp3,thirties
956,common_voice_pl_20633902.mp3,thirties
1035,common_voice_pl_20655890.mp3,twenties
1037,common_voice_pl_20655893.mp3,twenties
1039,common_voice_pl_21604053.mp3,thirties
1041,common_voice_pl_21604055.mp3,thirties
